Sku_Code,Item_Number,Item_Name,Sales_Price,Product_Group,Business_Area,Dns,Item,Color_Code,Size,Procurement_Group,Color_Name,Color_Code,Heel_Type,Occasion,Shoe_Type,Description
118-10001-62-13,118-10001-052,118-10001 KHK-62-KHAKI_13_D,1995,US,OTR,118,10001,62,13,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-14,118-10001-053,118-10001 KHK-62-KHAKI_14_D,1995,US,OTR,118,10001,62,14,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-15,118-10001-054,118-10001 KHK-62-KHAKI_15_D,1995,US,OTR,118,10001,62,15,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-16,118-10001-055,118-10001 KHK-62-KHAKI_16_D,1995,US,OTR,118,10001,62,16,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-62-17,118-10001-056,118-10001 KHK-62-KHAKI_17_D,1995,US,OTR,118,10001,62,17,260,KHAKI,KHK,N/A,Womens Bags,backpack,Khaki
118-10001-78-4,118-10001-057,118-10001 LP-78-LIGHT PINK_4_A,1995,US,OTR,118,10001,78,4,6L0,LIGHT PINK,LP,N/A,Womens Bags,backpack,Neon Magenta
118-10001-78-5,118-10001-058,118-10001 LP-78-LIGHT PINK_5_A,1995,US,OTR,118,10001,78,5,6L0,LIGHT PINK,LP,N/A,Womens Bags,backpack,Neon Magenta
118-10001-78-6,118-10001-059,118-10001 LP-78-LIGHT PINK_6_A,1995,US,OTR,118,10001,78,6,6L0,LIGHT PINK,LP,N/A,Womens Bags,backpack,Neon Magenta
118-10001-78-7,118-10001-060,118-10001 LP-78-LIGHT PINK_7_A,1995,US,OTR,118,10001,78,7,6L0,LIGHT PINK,LP,N/A,Womens Bags,backpack,Neon Magenta
118-10001-78-8,118-10001-061,118-10001 LP-78-LIGHT PINK_8_A,1995,US,OTR,118,10001,78,8,6L0,LIGHT PINK,LP,N/A,Womens Bags,backpack,Neon Magenta
118-10001-78-9,118-10001-062,118-10001 LP-78-LIGHT PINK_9_A,1995,US,OTR,118,10001,78,9,6L0,LIGHT PINK,LP,N/A,Womens Bags,backpack,Neon Magenta
118-10001-61-10,118-10001-063,118-10001 STON-61-STONE_10_A,1995,US,OTR,118,10001,61,10,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-11,118-10001-064,118-10001 STON-61-STONE_11_A,1995,US,OTR,118,10001,61,11,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-12,118-10001-065,118-10001 STON-61-STONE_12_A,1995,US,OTR,118,10001,61,12,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-13,118-10001-066,118-10001 STON-61-STONE_13_A,1995,US,OTR,118,10001,61,13,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-14,118-10001-067,118-10001 STON-61-STONE_14_A,1995,US,OTR,118,10001,61,14,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-15,118-10001-068,118-10001 STON-61-STONE_15_A,1995,US,OTR,118,10001,61,15,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-16,118-10001-069,118-10001 STON-61-STONE_16_A,1995,US,OTR,118,10001,61,16,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-17,118-10001-070,118-10001 STON-61-STONE_17_A,1995,US,OTR,118,10001,61,17,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-4,118-10001-071,118-10001 STON-61-STONE_4_A,1995,US,OTR,118,10001,61,4,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-5,118-10001-072,118-10001 STON-61-STONE_5_A,1995,US,OTR,118,10001,61,5,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-6,118-10001-073,118-10001 STON-61-STONE_6_A,1995,US,OTR,118,10001,61,6,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-7,118-10001-074,118-10001 STON-61-STONE_7_A,1995,US,OTR,118,10001,61,7,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-8,118-10001-075,118-10001 STON-61-STONE_8_A,1995,US,OTR,118,10001,61,8,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-61-9,118-10001-076,118-10001 STON-61-STONE_9_A,1995,US,OTR,118,10001,61,9,4EA,STONE,STON,N/A,Womens Bags,backpack,Storm
118-10001-21-4,118-10001-077,118-10001 H-21-GREEN_4_A,1995,US,OTR,118,10001,21,4,373,GREEN,H,N/A,Womens Bags,backpack,Parrot Green
118-10001-21-5,118-10001-078,118-10001 H-21-GREEN_5_A,1995,US,OTR,118,10001,21,5,373,GREEN,H,N/A,Womens Bags,backpack,Parrot Green
118-10001-21-6,118-10001-079,118-10001 H-21-GREEN_6_A,1995,US,OTR,118,10001,21,6,373,GREEN,H,N/A,Womens Bags,backpack,Parrot Green
118-10001-21-7,118-10001-080,118-10001 H-21-GREEN_7_A,1995,US,OTR,118,10001,21,7,373,GREEN,H,N/A,Womens Bags,backpack,Parrot Green
118-10001-21-8,118-10001-081,118-10001 H-21-GREEN_8_A,1995,US,OTR,118,10001,21,8,373,GREEN,H,N/A,Womens Bags,backpack,Parrot Green
118-10001-21-9,118-10001-082,118-10001 H-21-GREEN_9_A,1995,US,OTR,118,10001,21,9,373,GREEN,H,N/A,Womens Bags,backpack,Parrot Green
118-10001-32-10,118-10001-083,118-10001 LD-32-LIGHT BLUE_10_,1995,US,OTR,118,10001,32,10,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
118-10001-32-11,118-10001-084,118-10001 LD-32-LIGHT BLUE_11_,1995,US,OTR,118,10001,32,11,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
118-10001-32-4,118-10001-085,118-10001 LD-32-LIGHT BLUE_4_A,1995,US,OTR,118,10001,32,4,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
118-10001-32-5,118-10001-086,118-10001 LD-32-LIGHT BLUE_5_A,1995,US,OTR,118,10001,32,5,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
118-10001-32-6,118-10001-087,118-10001 LD-32-LIGHT BLUE_6_A,1995,US,OTR,118,10001,32,6,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
118-10001-32-7,118-10001-088,118-10001 LD-32-LIGHT BLUE_7_A,1995,US,OTR,118,10001,32,7,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
118-10001-32-8,118-10001-089,118-10001 LD-32-LIGHT BLUE_8_A,1995,US,OTR,118,10001,32,8,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
118-10001-32-9,118-10001-090,118-10001 LD-32-LIGHT BLUE_9_A,1995,US,OTR,118,10001,32,9,404,LIGHT BLUE,LD,N/A,Womens Bags,backpack,Electric Blue
